OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
115660,Charles Babbage,ZZ,9.46,Laminate,167434.00,4.50,9.80,753453.00,1640853.20,226501.37,2620807.57,04-13-1981
115721,Charles Babbage,LO,9.46,Granite,133440.00,72.50,29.25,9674400.00,3903120.00,1284433.39,14861953.39,04-13-1981
115818,Alex Trebek,ZZ,9.46,Mosaic Tile,7664.00,18.50,49.25,141784.00,377452.00,49119.73,568355.73,04-13-1981
115909,Steve Jobs,LO,9.46,Disco Light Up Panels,121858.00,40.78,23.33,4969369.24,2842947.14,739045.13,8551361.51,04-13-1981
115972,Steve Jobs,OH,7.14,Disco Light Up Panels,78933.00,40.78,23.33,3218887.74,1841506.89,361312.18,5421706.81,04-13-1981
116007,Bill Gates,II,9.46,Marble,63180.00,88.73,34.25,5605961.40,2163915.00,735030.31,8504906.71,04-13-1981
116019,Albert Einstein,XX,9.46,Asphalt,271064.00,10.78,13.33,2922069.92,3613283.12,618244.40,7153597.44,04-13-1981
116104,Jean Ichbiah,AK,1.76,Laminate,202908.00,4.50,9.80,913086.00,1988498.40,51067.89,2952652.29,04-13-1981
116160,Apple,XX,9.46,Granite,236489.00,72.50,29.25,17145452.50,6917303.25,2276336.69,26339092.44,04-13-1981
116200,Steve Jobs,XX,9.46,Dirt,26812.00,0.78,3.33,20913.36,89283.96,10424.67,120621.99,04-13-1981
202342,Charles Babbage,XX,9.46,Mosaic Tile,82089.00,18.50,49.25,1518646.50,4042883.25,526120.71,6087650.46,04-16-1943
202420,Bill Gates,LO,9.46,Mosaic Tile,183028.00,18.50,49.25,3386018.00,9014129.00,1173053.91,13573200.91,04-16-1943
202453,Thomas J. Watson,LO,9.46,Mosaic Tile,209416.00,18.50,49.25,3874196.00,10313738.00,1342178.56,15530112.56,04-16-1943
202475,Albert Einstein,WY,9.46,Asphalt,132447.00,10.78,13.33,1427778.66,1765518.51,302085.91,3495383.08,04-16-1943
202512,Louisville Llama Farm,XX,9.46,Granite,177463.00,72.50,29.25,12866067.50,5190792.75,1708178.98,19765039.23,04-16-1943
202577,Thomas J. Watson,AK,1.76,Granite,11438.00,72.50,29.25,829255.00,334561.50,20483.17,1184299.67,04-16-1943
202634,Microsoft# Inc.,DN,9.46,Laminate,104429.00,4.50,9.80,469930.50,1023404.20,141269.46,1634604.16,04-16-1943
202717,Albert Einstein,ZZ,9.46,Tile,6569.00,1.50,14.30,9853.50,93936.70,9818.55,113608.75,04-16-1943
202811,Thurston Howell# III,XX,9.46,Granite,182646.00,72.50,29.25,13241835.00,5342395.50,1758068.21,20342298.71,04-16-1943
202825,Thomas J. Watson,HI,4.35,Dirt,205736.00,0.78,3.33,160474.08,685100.88,36782.51,882357.47,04-16-1943
202831,Penn Jillette,II,9.46,Trampoline,289869.00,20.78,13.33,6023477.82,3863953.77,935351.03,10822782.62,04-16-1943
202852,Alex Trebek,WY,9.46,Wood,27978.00,12.50,9.25,349725.00,258796.50,57566.13,666087.63,04-16-1943
136624,Albert Einstein,TX,8.19,Asphalt,98085.00,10.78,13.33,1057356.30,1307473.05,193679.52,2558508.87,04-16-2005
136671,Alex Trebek,TX,8.19,Wood,184191.00,12.50,9.25,2302387.50,1703766.75,328104.03,4334258.28,04-16-2005
136738,Adams# Douglas,OH,7.14,Wood,285309.00,12.50,9.25,3566362.50,2639108.25,443070.61,6648541.36,04-16-2005
136835,Jean Ichbiah,AK,1.76,Straw,2340.00,1.80,3.25,4212.00,7605.00,207.98,12024.98,04-16-2005
136903,Alex Trebek,ZZ,9.46,Granite,18163.00,72.50,29.25,1316817.50,531267.75,174828.86,2022914.11,04-16-2005
136922,Bill Gates,XX,9.46,Distressed Red Oak,126100.00,18.57,23.33,2341677.00,2941913.00,499827.61,5783417.61,04-16-2005
136972,Thurston Howell# III,TX,8.19,Marble,26127.00,88.73,34.25,2318248.71,894849.75,263152.76,3476251.22,04-16-2005
137022,Ada Lovelace,ZZ,9.46,Distressed Red Oak,183912.00,18.57,23.33,3415245.84,4290666.96,728979.35,8434892.15,04-16-2005
137045,Apple,AK,1.76,Wood,243209.00,12.50,9.25,3040112.50,2249683.25,93100.41,5382896.16,04-16-2005
137169,Thomas J. Watson,KY,6,Disco Light Up Panels,89706.00,40.78,23.33,3658210.68,2092840.98,345063.10,6096114.76,04-16-2005
137223,Louisville Llama Farm,AK,1.76,Straw,79837.00,1.80,3.25,143706.60,259470.25,7095.91,410272.76,04-16-2005
137253,Jaden Smith,TX,8.19,Disco Light Up Panels,294502.00,40.78,23.33,12009791.56,6870731.66,1546314.85,20426838.07,04-16-2005
137345,The Boring Company,DN,9.46,Bamboo,115361.00,18.50,9.25,2134178.50,1067089.25,302839.93,3504107.68,04-16-2005
137357,Thomas J. Watson,HI,4.35,Straw,292411.00,1.80,3.25,526339.80,950335.75,64235.39,1540910.94,04-16-2005
137408,Elon Musk,KY,6,Bamboo,145665.00,18.50,9.25,2694802.50,1347401.25,242532.23,4284735.98,04-16-2005
137490,Monsters Inc.,ZZ,9.46,Tile,180774.00,1.50,14.30,271161.00,2585068.20,270199.28,3126428.48,04-16-2005
137555,Penn Jillette,LO,9.46,Wood,144215.00,12.50,9.25,1802687.50,1333988.75,296729.57,3433405.82,04-16-2005
137599,Jaden Smith,AK,1.76,Asphalt,285052.00,10.78,13.33,3072860.56,3799743.16,120957.83,6993561.55,04-16-2005
39566,Thomas J. Watson,HI,4.35,Wood,149645.00,12.50,9.25,1870562.50,1384216.25,141582.88,3396361.63,04-17-2022
39634,Elon Musk,ZZ,9.46,Trampoline,16829.00,20.78,13.33,349706.62,224330.57,54303.92,628341.11,04-17-2022
39649,Apple,HI,4.35,Dirt,185.00,0.78,3.33,144.30,616.05,33.08,793.43,04-17-2022
39722,Thurston Howell# III,HI,4.35,Distressed Red Oak,46564.00,18.57,23.33,864693.48,1086338.12,84869.87,2035901.47,04-17-2022
39784,Microsoft# Inc.,ZZ,9.46,Mosaic Tile,122434.00,18.50,49.25,2265029.00,6029874.50,784697.87,9079601.37,04-17-2022
39787,Steve Jobs,II,9.46,Dirt,93413.00,0.78,3.33,72862.14,311065.29,36319.53,420246.96,04-17-2022
39832,Alan M. Galloway# Jr.,II,9.46,Asphalt,273710.00,10.78,13.33,2950593.80,3648554.30,624279.41,7223427.51,04-17-2022
39864,Alphabet,HI,4.35,Straw,25105.00,1.80,3.25,45189.00,81591.25,5514.94,132295.19,04-17-2022
39958,Penn Jillette,II,9.46,Bamboo,247414.00,18.50,9.25,4577159.00,2288579.50,649498.86,7515237.36,04-17-2022
40016,Thomas J. Watson,XX,9.46,Trampoline,29101.00,20.78,13.33,604718.78,387916.33,93903.28,1086538.39,04-17-2022
40091,Jean Ichbiah,II,9.46,Trampoline,227546.00,20.78,13.33,4728405.88,3033188.18,734246.80,8495840.86,04-17-2022
40133,Jean Ichbiah,ZZ,9.46,Disco Light Up Panels,16971.00,40.78,23.33,692077.38,395933.43,102925.82,1190936.63,04-17-2022
40163,Charles Babbage,II,9.46,Disco Light Up Panels,232435.00,40.78,23.33,9478699.30,5422708.55,1409673.18,16311081.03,04-17-2022
40259,Ada Lovelace,TX,8.19,Mosaic Tile,96900.00,18.50,49.25,1792650.00,4772325.00,537671.45,7102646.45,04-17-2022
40315,Jean Ichbiah,ZZ,9.46,Carpet,13442.00,12.50,6.30,168025.00,84684.60,23906.33,276615.93,04-17-2022
40382,Monty Hall,ZZ,9.46,Carpet,39436.00,12.50,6.30,492950.00,248446.80,70136.14,811532.94,04-17-2022
40439,Alan M. Galloway# Sr.,TX,8.19,Dirt,126092.00,0.78,3.33,98351.76,419886.36,42443.70,560681.82,04-17-2022
40538,Grace Murray Hopper,KY,6,Carpet,285534.00,12.50,6.30,3569175.00,1798864.20,322082.35,5690121.55,04-17-2022
40570,Thurston Howell# III,II,9.46,Carpet,26506.00,12.50,6.30,331325.00,166987.80,47140.39,545453.19,04-17-2022
40614,Bill Gates,AK,1.76,Tile,194362.00,1.50,14.30,291543.00,2779376.60,54048.18,3124967.78,04-17-2022
40628,Apple,KY,6,Tile,136745.00,1.50,14.30,205117.50,1955453.50,129634.26,2290205.26,04-17-2022
40713,Alex Trebek,WY,9.46,Granite,75889.00,72.50,29.25,5501952.50,2219753.25,730473.36,8452179.11,04-17-2022
40783,Alan M. Galloway# Jr.,WY,9.46,Asphalt,161918.00,10.78,13.33,1745476.04,2158366.94,369303.55,4273146.53,04-17-2022
40786,Alphabet,XX,9.46,Bamboo,133883.00,18.50,9.25,2476835.50,1238417.75,351462.96,4066716.21,04-17-2022
40837,Thurston Howell# III,OH,7.14,Marble,38605.00,88.73,34.25,3425421.65,1322221.25,338981.70,5086624.60,04-17-2022
40964,Monty Hall,LO,9.46,Mosaic Tile,101101.00,18.50,49.25,1870368.50,4979224.25,647971.47,7497564.22,04-17-2022
41050,Monsters Inc.,AK,1.76,Laminate,244335.00,4.50,9.80,1099507.50,2394483.00,61494.23,3555484.73,04-17-2022
41058,Jean Ichbiah,LO,9.46,Carpet,148984.00,12.50,6.30,1862300.00,938599.20,264965.06,3065864.26,04-17-2022
41136,Microsoft# Inc.,TX,8.19,Wood,83701.00,12.50,9.25,1046262.50,774234.25,149098.68,1969595.43,04-17-2022
2746,Tractor Supply Co.,II,9.46,Marble,12135.00,88.73,34.25,1076738.55,415623.75,141177.47,1633539.77,04-20-2025
2780,Charles Darwin,ZZ,9.46,Tile,183862.00,1.50,14.30,275793.00,2629226.60,274814.85,3179834.45,04-20-2025
2811,Apple,ZZ,9.46,Marble,249934.00,88.73,34.25,22176643.82,8560239.50,2907709.16,33644592.48,04-20-2025
2843,Steve Jobs,AK,1.76,Wood,258528.00,12.50,9.25,3231600.00,2391384.00,98964.52,5721948.52,04-20-2025
2850,Alan M. Galloway# Jr.,KY,6,Carpet,288710.00,12.50,6.30,3608875.00,1818873.00,325664.88,5753412.88,04-20-2025
2855,The Boring Company,KY,6,Disco Light Up Panels,5254.00,40.78,23.33,214258.12,122575.82,20210.04,357043.98,04-20-2025
2897,Adams# Douglas,KY,6,Laminate,213870.00,4.50,9.80,962415.00,2095926.00,183500.46,3241841.46,04-20-2025
2975,Alan M. Galloway# Sr.,XX,9.46,Wood,38628.00,12.50,9.25,482850.00,357309.00,79479.04,919638.04,04-20-2025
3059,Microsoft# Inc.,LO,9.46,Distressed Red Oak,175900.00,18.57,23.33,3266463.00,4103747.00,697221.87,8067431.87,04-20-2025
3130,Microsoft# Inc.,HI,4.35,Granite,281422.00,72.50,29.25,20403095.00,8231593.50,1245608.95,29880297.45,04-20-2025
3170,Ada Lovelace,AK,1.76,Tile,173196.00,1.50,14.30,259794.00,2476702.80,48162.34,2784659.14,04-20-2025
3216,Alan M. Galloway# Sr.,TX,8.19,Trampoline,100642.00,20.78,13.33,2091340.76,1341557.86,281154.40,3714053.02,04-20-2025
3263,Albert Einstein,KY,6,Distressed Red Oak,12837.00,18.57,23.33,238383.09,299487.21,32272.22,570142.52,04-20-2025
3271,Elon Musk,TX,8.19,Laminate,171881.00,4.50,9.80,773464.50,1684433.80,201301.87,2659200.17,04-20-2025
3329,Apple,AK,1.76,Tile,38859.00,1.50,14.30,58288.50,555683.70,10805.91,624778.11,04-20-2025
3418,Alphabet,II,9.46,Mosaic Tile,78090.00,18.50,49.25,1444665.00,3845932.50,500490.52,5791088.02,04-20-2025
3506,Thurston Howell# III,RI,7,Mosaic Tile,147201.00,18.50,49.25,2723218.50,7249649.25,698100.74,10670968.49,04-20-2025
3539,Penn Jillette,OH,7.14,Disco Light Up Panels,276176.00,40.78,23.33,11262457.28,6443186.08,1264182.94,18969826.30,04-20-2025
3585,Alex Trebek,LO,9.46,Tile,92575.00,1.50,14.30,138862.50,1323822.50,138370.00,1601055.00,04-20-2025
3711,Bill Gates,TX,8.19,Bamboo,148322.00,18.50,9.25,2743957.00,1371978.50,337095.12,4453030.62,04-20-2025
3758,Thurston Howell# III,ZZ,9.46,Tile,27517.00,1.50,14.30,41275.50,393493.10,41129.11,475897.71,04-20-2025
3797,Monsters Inc.,WY,9.46,Laminate,284953.00,4.50,9.80,1282288.50,2792539.40,385478.72,4460306.62,04-20-2025
3812,Albert Einstein,KY,6,Disco Light Up Panels,150434.00,40.78,23.33,6134698.52,3509625.22,578659.42,10222983.16,04-20-2025
3910,Bill Gates,DN,9.46,Wood,83243.00,12.50,9.25,1040537.50,769997.75,171276.63,1981811.88,04-20-2025
3976,Tractor Supply Co.,DN,9.46,Asphalt,201312.00,10.78,13.33,2170143.36,2683488.96,459153.62,5312785.94,04-20-2025
4073,Adams# Douglas,TX,8.19,Wood,83843.00,12.50,9.25,1048037.50,775547.75,149351.63,1972936.88,04-20-2025
4121,Monsters Inc.,ZZ,9.46,Dirt,116615.00,0.78,3.33,90959.70,388327.95,45340.61,524628.26,04-20-2025
4259,Alex Trebek,XX,9.46,Dirt,115663.00,0.78,3.33,90217.14,385157.79,44970.47,520345.40,04-20-2025
4287,Charles Babbage,ZZ,9.46,Wood,218468.00,12.50,9.25,2730850.00,2020829.00,449508.83,5201187.83,04-20-2025
289102,Steve Jobs,XX,9.46,Mosaic Tile,50847.00,18.50,49.25,940669.50,2504214.75,325886.05,3770770.30,04-21-1989
289148,Charles Babbage,TX,8.19,Granite,259437.00,72.50,29.25,18809182.50,7588532.25,2161972.84,28559687.59,04-21-1989
289229,Apple,OH,7.14,Wood,186719.00,12.50,9.25,2333987.50,1727150.75,289965.27,4351103.52,04-21-1989
289282,The Boring Company,II,9.46,Trampoline,63182.00,20.78,13.33,1312921.96,842216.06,203876.06,2359014.08,04-21-1989
289324,Adams# Douglas,WY,9.46,Wood,130991.00,12.50,9.25,1637387.50,1211666.75,269520.53,3118574.78,04-21-1989
289344,Thurston Howell# III,TX,8.19,Straw,66018.00,1.80,3.25,118832.40,214558.50,27304.71,360695.61,04-21-1989
289383,Alphabet,XX,9.46,Carpet,163533.00,12.50,6.30,2044162.50,1030257.90,290840.17,3365260.57,04-21-1989
289393,Albert Einstein,HI,4.35,Asphalt,249798.00,10.78,13.33,2692822.44,3329807.34,261984.40,6284614.18,04-21-1989
289464,Steve Jobs,OH,7.14,Laminate,89311.00,4.50,9.80,401899.50,875247.80,91188.32,1368335.62,04-21-1989
289493,Alex Trebek,II,9.46,Laminate,130663.00,4.50,9.80,587983.50,1280497.40,176758.29,2045239.19,04-21-1989
289580,Thurston Howell# III,ZZ,9.46,Distressed Red Oak,148137.00,18.57,23.33,2750904.09,3456036.21,587176.55,6794116.85,04-21-1989
289606,Thomas J. Watson,XX,9.46,Wood,293582.00,12.50,9.25,3669775.00,2715633.50,604059.64,6989468.14,04-21-1989
289654,Alan M. Galloway# Jr.,LO,9.46,Asphalt,56105.00,10.78,13.33,604811.90,747879.65,127964.62,1480656.17,04-21-1989
289717,Jean Ichbiah,TX,8.19,Asphalt,178367.00,10.78,13.33,1922796.26,2377632.11,352205.08,4652633.45,04-21-1989
289749,Elon Musk,OH,7.14,Straw,171654.00,1.80,3.25,308977.20,557875.50,61893.28,928745.98,04-21-1989
289778,Albert Einstein,WY,9.46,Tile,9880.00,1.50,14.30,14820.00,141284.00,14767.44,170871.44,04-21-1989
27903,Microsoft# Inc.,XX,9.46,Tile,53173.00,1.50,14.30,79759.50,760373.90,79476.62,919610.02,04-22-2025
27929,Ada Lovelace,HI,4.35,Tile,74585.00,1.50,14.30,111877.50,1066565.50,51262.27,1229705.27,04-22-2025
27938,Thomas J. Watson,TX,8.19,Marble,144761.00,88.73,34.25,12844643.53,4958064.25,1458041.77,19260749.55,04-22-2025
27984,Alan M. Galloway# Jr.,TX,8.19,Straw,183126.00,1.80,3.25,329626.80,595159.50,75740.00,1000526.30,04-22-2025
28078,Charles Darwin,KY,6,Laminate,77037.00,4.50,9.80,346666.50,754962.60,66097.75,1167726.85,04-22-2025
28095,Steve Jobs,TX,8.19,Disco Light Up Panels,136711.00,40.78,23.33,5575074.58,3189467.63,717816.01,9482358.22,04-22-2025
28142,Charles Babbage,ZZ,9.46,Marble,102010.00,88.73,34.25,9051347.30,3493842.50,1186774.96,13731964.76,04-22-2025
28223,Tractor Supply Co.,LO,9.46,Carpet,112645.00,12.50,6.30,1408062.50,709663.50,200336.88,2318062.88,04-22-2025
28312,Penn Jillette,WY,9.46,Wood,179366.00,12.50,9.25,2242075.00,1659135.50,369054.51,4270265.01,04-22-2025
28406,Adams# Douglas,II,9.46,Wood,134754.00,12.50,9.25,1684425.00,1246474.50,277263.09,3208162.59,04-22-2025
28408,Alex Trebek,WY,9.46,Laminate,73632.00,4.50,9.80,331344.00,721593.60,99607.90,1152545.50,04-22-2025
28466,Penn Jillette,KY,6,Distressed Red Oak,84562.00,18.57,23.33,1570316.34,1972831.46,212588.87,3755736.67,04-22-2025
28495,Elon Musk,TX,8.19,Wood,14279.00,12.50,9.25,178487.50,132080.75,25435.54,336003.79,04-22-2025
28519,Monty Hall,II,9.46,Straw,252515.00,1.80,3.25,454527.00,820673.75,120633.99,1395834.74,04-22-2025
28588,Monsters Inc.,OH,7.14,Laminate,299099.00,4.50,9.80,1345945.50,2931170.20,305386.06,4582501.76,04-22-2025
28665,Albert Einstein,II,9.46,Distressed Red Oak,255185.00,18.57,23.33,4738785.45,5953466.05,1011486.99,11703738.49,04-22-2025
28699,Adams# Douglas,RI,7,Carpet,191047.00,12.50,6.30,2388087.50,1203596.10,251417.85,3843101.45,04-22-2025
28733,Steve Jobs,TX,8.19,Trampoline,94616.00,20.78,13.33,1966120.48,1261231.28,264320.11,3491671.87,04-22-2025
28753,Thomas J. Watson,KY,6,Carpet,58682.00,12.50,6.30,733525.00,369696.60,66193.30,1169414.90,04-22-2025
28777,Bill Gates,TX,8.19,Marble,87130.00,88.73,34.25,7731044.90,2984202.50,877578.76,11592826.16,04-22-2025
69653,Bill Gates,XX,9.46,Asphalt,136312.00,10.78,13.33,1469443.36,1817038.96,310901.23,3597383.55,04-24-2023
69672,Grace Murray Hopper,HI,4.35,Straw,20498.00,1.80,3.25,36896.40,66618.50,4502.90,108017.80,04-24-2023
69679,Bill Gates,ZZ,9.46,Straw,103874.00,1.80,3.25,186973.20,337590.50,49623.73,574187.43,04-24-2023
69752,Alex Trebek,HI,4.35,Bamboo,13288.00,18.50,9.25,245828.00,122914.00,16040.28,384782.28,04-24-2023
69774,Monsters Inc.,RI,7,Mosaic Tile,227929.00,18.50,49.25,4216686.50,11225503.25,1080953.28,16523143.03,04-24-2023
69858,Charles Babbage,KY,6,Granite,249378.00,72.50,29.25,18079905.00,7294306.50,1522452.69,26896664.19,04-24-2023
69867,Thurston Howell# III,DN,9.46,Disco Light Up Panels,241738.00,40.78,23.33,9858075.64,5639747.54,1466094.07,16963917.25,04-24-2023
69902,Alex Trebek,WY,9.46,Distressed Red Oak,2441.00,18.57,23.33,45329.37,56948.53,9675.49,111953.39,04-24-2023
70009,Alphabet,KY,6,Tile,72921.00,1.50,14.30,109381.50,1042770.30,69129.11,1221280.91,04-24-2023
70075,Albert Einstein,LO,9.46,Disco Light Up Panels,297429.00,40.78,23.33,12129154.62,6939018.57,1803849.18,20872022.37,04-24-2023
70134,Charles Darwin,TX,8.19,Straw,132103.00,1.80,3.25,237785.40,429334.75,54637.14,721757.29,04-24-2023
70193,Penn Jillette,RI,7,Marble,291513.00,88.73,34.25,25865948.49,9984320.25,2509518.81,38359787.55,04-24-2023
70286,Alphabet,KY,6,Distressed Red Oak,245406.00,18.57,23.33,4557189.42,5725321.98,616950.68,10899462.08,04-24-2023
70322,Monsters Inc.,OH,7.14,Bamboo,209272.00,18.50,9.25,3871532.00,1935766.00,414641.08,6221939.08,04-24-2023
70361,Louisville Llama Farm,TX,8.19,Laminate,72485.00,4.50,9.80,326182.50,710353.00,84892.26,1121427.76,04-24-2023
70365,Elon Musk,XX,9.46,Mosaic Tile,75137.00,18.50,49.25,1390034.50,3700497.25,481564.30,5572096.05,04-24-2023
70452,Louisville Llama Farm,AK,1.76,Asphalt,21664.00,10.78,13.33,233537.92,288781.12,9192.82,531511.86,04-24-2023
70531,Tractor Supply Co.,II,9.46,Bamboo,147872.00,18.50,9.25,2735632.00,1367816.00,388186.18,4491634.18,04-24-2023
70610,Bill Gates,OH,7.14,Wood,261505.00,12.50,9.25,3268812.50,2418921.25,406104.19,6093837.94,04-24-2023
70643,Tractor Supply Co.,AK,1.76,Disco Light Up Panels,165805.00,40.78,23.33,6761527.90,3868230.65,187083.75,10816842.30,04-24-2023
70703,Alex Trebek,RI,7,Bamboo,130274.00,18.50,9.25,2410069.00,1205034.50,253057.25,3868160.75,04-24-2023
70737,Albert Einstein,LO,9.46,Carpet,38783.00,12.50,6.30,484787.50,244332.90,68974.79,798095.19,04-24-2023
70748,Steve Jobs,II,9.46,Marble,168352.00,88.73,34.25,14937872.96,5766056.00,1958591.68,22662520.64,04-24-2023
70791,Adams# Douglas,AK,1.76,Laminate,291014.00,4.50,9.80,1309563.00,2851937.20,73242.40,4234742.60,04-24-2023
70827,Jaden Smith,DN,9.46,Wood,120131.00,12.50,9.25,1501637.50,1111211.75,247175.54,2860024.79,04-24-2023
71009,Adams# Douglas,HI,4.35,Mosaic Tile,254897.00,18.50,49.25,4715594.50,12553677.25,751213.32,18020485.07,04-24-2023
71046,Monsters Inc.,ZZ,9.46,Mosaic Tile,72355.00,18.50,49.25,1338567.50,3563483.75,463734.05,5365785.30,04-24-2023
71127,Thomas J. Watson,LO,9.46,Dirt,135219.00,0.78,3.33,105470.82,450279.27,52573.96,608324.05,04-24-2023
282928,Alan M. Galloway# Jr.,XX,9.46,Straw,169212.00,1.80,3.25,304581.60,549939.00,80837.65,935358.25,04-26-1945
283022,Ada Lovelace,TX,8.19,Tile,116843.00,1.50,14.30,175264.50,1670854.90,151197.18,1997316.58,04-26-1945
283074,Alan M. Galloway# Sr.,TX,8.19,Laminate,15373.00,4.50,9.80,69178.50,150655.40,18004.40,237838.30,04-26-1945
283121,Alan M. Galloway# Jr.,KY,6,Dirt,293838.00,0.78,3.33,229193.64,978480.54,72460.45,1280134.63,04-26-1945
283169,Elon Musk,XX,9.46,Dirt,70312.00,0.78,3.33,54843.36,234138.96,27337.73,316320.05,04-26-1945
283209,Steve Jobs,LO,9.46,Carpet,247770.00,12.50,6.30,3097125.00,1560951.00,440653.99,5098729.99,04-26-1945
283210,Apple,HI,4.35,Asphalt,253661.00,10.78,13.33,2734465.58,3381301.13,266035.85,6381802.56,04-26-1945
283271,Jaden Smith,ZZ,9.46,Marble,180288.00,88.73,34.25,15996954.24,6174864.00,2097454.01,24269272.25,04-26-1945
283310,Albert Einstein,KY,6,Marble,11161.00,88.73,34.25,990315.53,382264.25,82354.79,1454934.57,04-26-1945
283352,Charles Babbage,II,9.46,Carpet,145434.00,12.50,6.30,1817925.00,916234.20,258651.46,2992810.66,04-26-1945
283383,Jean Ichbiah,ZZ,9.46,Carpet,124572.00,12.50,6.30,1557150.00,784803.60,221548.81,2563502.41,04-26-1945
283392,Grace Murray Hopper,LO,9.46,Granite,229197.00,72.50,29.25,16616782.50,6704012.25,2206147.18,25526941.93,04-26-1945
283450,Tractor Supply Co.,LO,9.46,Straw,243777.00,1.80,3.25,438798.60,792275.25,116459.59,1347533.44,04-26-1945
283469,Steve Jobs,AK,1.76,Marble,129781.00,88.73,34.25,11515468.13,4444999.25,280904.23,16241371.61,04-26-1945
283528,Monsters Inc.,WY,9.46,Asphalt,208984.00,10.78,13.33,2252847.52,2785756.72,476651.96,5515256.20,04-26-1945
283577,Jean Ichbiah,LO,9.46,Straw,139349.00,1.80,3.25,250828.20,452884.25,66571.20,770283.65,04-26-1945
283579,Thurston Howell# III,DN,9.46,Granite,168052.00,72.50,29.25,12183770.00,4915521.00,1617592.93,18716883.93,04-26-1945
283643,Monty Hall,ZZ,9.46,Bamboo,18471.00,18.50,9.25,341713.50,170856.75,48489.15,561059.40,04-26-1945
283690,The Boring Company,LO,9.46,Wood,99439.00,12.50,9.25,1242987.50,919810.75,204600.71,2367398.96,04-26-1945
283751,Jaden Smith,DN,9.46,Granite,75330.00,72.50,29.25,5461425.00,2203402.50,725092.68,8389920.18,04-26-1945
283829,Charles Darwin,TX,8.19,Asphalt,37356.00,10.78,13.33,402697.68,497955.48,73763.49,974416.65,04-26-1945
283843,Jean Ichbiah,RI,7,Trampoline,246418.00,20.78,13.33,5120566.04,3284751.94,588372.26,8993690.24,04-26-1945
283883,Alan M. Galloway# Jr.,AK,1.76,Trampoline,97365.00,20.78,13.33,2023244.70,1297875.45,58451.71,3379571.86,04-26-1945
283972,Monty Hall,KY,6,Marble,282315.00,88.73,34.25,25049809.95,9669288.75,2083145.92,36802244.62,04-26-1945
283974,Thomas J. Watson,KY,6,Dirt,175514.00,0.78,3.33,136900.92,584461.62,43281.75,764644.29,04-26-1945
75096,Alex Trebek,KY,6,Bamboo,131068.00,18.50,9.25,2424758.00,1212379.00,218228.22,3855365.22,04-26-2023
75131,Albert Einstein,KY,6,Bamboo,10139.00,18.50,9.25,187571.50,93785.75,16881.44,298238.69,04-26-2023
75172,Tractor Supply Co.,II,9.46,Laminate,283232.00,4.50,9.80,1274544.00,2775673.60,383150.58,4433368.18,04-26-2023
75228,Albert Einstein,ZZ,9.46,Bamboo,79505.00,18.50,9.25,1470842.50,735421.25,208712.55,2414976.30,04-26-2023
75300,Thomas J. Watson,KY,6,Wood,158911.00,12.50,9.25,1986387.50,1469926.75,207378.86,3663693.11,04-26-2023
75328,Jaden Smith,II,9.46,Trampoline,14293.00,20.78,13.33,297008.54,190525.69,46120.74,533654.97,04-26-2023
75355,Alex Trebek,ZZ,9.46,Distressed Red Oak,66669.00,18.57,23.33,1238043.33,1555387.77,264258.58,3057689.68,04-26-2023
75395,Alan M. Galloway# Sr.,ZZ,9.46,Wood,274274.00,12.50,9.25,3428425.00,2537034.50,564332.47,6529791.97,04-26-2023
75398,Charles Babbage,AK,1.76,Bamboo,227446.00,18.50,9.25,4207751.00,2103875.50,111084.63,6422711.13,04-26-2023
75443,Monsters Inc.,LO,9.46,Trampoline,108172.00,20.78,13.33,2247814.16,1441932.76,349050.06,4038796.98,04-26-2023
75449,Alphabet,II,9.46,Distressed Red Oak,198388.00,18.57,23.33,3684065.16,4628392.04,786358.45,9098815.65,04-26-2023
75489,Microsoft# Inc.,KY,6,Asphalt,145795.00,10.78,13.33,1571670.10,1943447.35,210907.05,3726024.50,04-26-2023
75504,Thomas J. Watson,DN,9.46,Marble,41367.00,88.73,34.25,3670493.91,1416819.75,481259.87,5568573.53,04-26-2023
75516,Tractor Supply Co.,II,9.46,Granite,106776.00,72.50,29.25,7741260.00,3123198.00,1027777.73,11892235.73,04-26-2023
75546,Adams# Douglas,ZZ,9.46,Bamboo,43989.00,18.50,9.25,813796.50,406898.25,115477.72,1336172.47,04-26-2023
75618,Jaden Smith,DN,9.46,Distressed Red Oak,119377.00,18.57,23.33,2216830.89,2785065.41,473179.39,5475075.69,04-26-2023
75696,Apple,RI,7,Straw,167165.00,1.80,3.25,300897.00,543286.25,59092.83,903276.08,04-26-2023
75748,Apple,LO,9.46,Marble,152031.00,88.73,34.25,13489710.63,5207061.75,1768714.67,20465487.05,04-26-2023
279365,Alan M. Galloway# Sr.,ZZ,9.46,Mosaic Tile,88901.00,18.50,49.25,1644668.50,4378374.25,569779.84,6592822.59,04-28-2009
279414,Alphabet,HI,4.35,Granite,205805.00,72.50,29.25,14920862.50,6019796.25,910918.66,21851577.41,04-28-2009
279507,Grace Murray Hopper,HI,4.35,Disco Light Up Panels,50581.00,40.78,23.33,2062693.18,1180054.73,141059.53,3383807.44,04-28-2009
